temperature,humidity,wind_speed,rainfall,visibility
31.0,59,16.9,0.0,10.0
31.0,41,34.9,0.0,9.0
30.8,67,19.8,0.0,10.0
33.0,59,37.1,0.04,10.0
21.0,49,15.1,0.1,10.0
18.0,73,9.0,1.63,10.0
31.0,84,11.2,0.0,9.0
31.0,71,11.2,0.01,10.0
9.9,93,5.8,0.7,9.0
13.4,78,9.4,0.01,10.0
25.0,36,6.8,0.0,10.0
28.7,13,3.6,0.0,10.0
28.7,81,7.2,0.46,9.0
27.0,94,3.6,0.24,10.0
24.0,44,3.6,0.0,10.0
40.7,22,5.4,0.0,10.0
30.0,59,11.2,0.62,10.0
26.4,56,19.4,0.24,9.0
27.0,54,41.0,0.0,10.0
31.0,75,3.6,0.06,9.0
31.0,59,3.6,1.38,8.0
18.0,88,9.0,0.35,19.0
34.0,56,6.8,0.04,10.0
43.0,6,11.2,0.0,6.0
5.0,75,3.6,0.0,5.0
24.0,65,19.1,0.0,10.0
22.6,61,6.8,0.0,10.0
26.3,84,29.5,0.07,10.0
34.0,47,15.1,0.0,7.0
25.0,65,19.1,0.0,10.0
26.0,37,9.0,0.0,10.0
30.0,70,15.1,0.0,9.0
28.0,58,31.0,0.0,10.0
16.0,72,20.2,0.17,10.0
34.0,47,15.1,0.0,7.0
20.0,40,20.2,0.0,10.0
35.0,50,20.2,0.0,10.0
34.0,41,6.1,0.3,10.0
29.0,79,9.0,0.0,10.0
13.6,81,5.8,0.0,10.0
38.0,14,15.1,0.0,10.0
27.0,70,4.0,0.0,10.0
30.0,84,9.0,0.06,10.0
23.2,48,18.7,0.0,10.0
22.0,27,20.2,0.0,10.0
19.6,59,15.1,0.0,10.0
24.0,47,19.1,0.07,10.0
25.0,94,3.6,0.01,10.0
20.0,26,13.0,0.0,10.0
19.0,64,20.2,0.23,10.0
29.0,84,9.0,0.02,10.0
35.0,27,6.8,0.0,10.0
19.0,32,29.9,0.0,10.0
19.0,56,15.1,0.06,10.0
32.0,67,16.9,0.0,10.0
22.0,61,3.6,0.45,10.0
32.0,67,25.9,0.01,10.0
24.0,69,3.6,0.0,10.0
32.0,67,15.1,0.0,10.0
38.0,31,3.6,0.0,8.0
30.0,75,15.1,1.24,10.0
31.0,63,20.2,0.0,9.0
25.0,44,11.2,0.0,10.0
26.0,70,3.6,0.0,10.0
22.0,50,9.0,0.0,10.0
8.0,53,19.1,0.0,10.0
41.0,15,11.2,0.0,4.0
28.0,74,11.2,0.76,6.0
23.0,20,29.9,0.0,10.0
35.0,17,19.1,0.0,10.0
16.0,77,16.9,0.02,10.0
31.0,24,11.2,0.0,10.0
